query_id,query_text,gt_ids
Q1,바다 내음 가득한 시원한 국물,"5,35,69,82,120,240,304,346"
Q2,해물 풍미가 살아있는 얼큰한 찌개,"38,39,76,132,304"
Q3,고소한 두부와 버섯이 어우러진 찌개,"43,44,45,46,51"
Q4,고단백 닭가슴살 스테이크,"49,166,185,183,450"
Q5,부드럽고 촉촉한 계란찜,"1,11,26,137,20"
Q6,달콤한 과일을 곁들인 상큼한 샐러드,"28,88,189,222,236"
Q7,깊은 국물 맛의 버섯탕,"51,44,45,73"
Q8,신선한 야채가 듬뿍 들어간 비빔밥,"52,56,79,84,91,265"
Q9,고소한 견과류 향이 느껴지는 스프,"43,45,70,78,217"
Q10,시원한 매생이 순두부탕,"31,35,82,46,240"
Q11,얼큰한 국물 찌개,"36,38,39,43,76"
Q12,바삭하게 튀긴 닭꼬치,"15,49,153,195,232"
Q13,부드러운 찜 요리,"11,26,59,61,137"
Q14,달콤한 볶음밥,"3,14,194,433,20"
Q15,허브 향 구운 스테이크,"49,166,184,185,405"
